arrival_info,stop_number,stop_name,stop_id,latitude,longitude
3分鐘,9,北投公園,1124701040,25.136348,121.5041244
4分鐘,10,第一銀行,1124600540,25.134513,121.5023587
5分鐘,11,北投國小,1126300300,25.133615,121.50136
6分鐘,12,大業中央北路口,1126300060,25.135807,121.4978915
8分鐘,13,幼華高中(大業),1126800040,25.135718,121.4968066
10分鐘,14,大業路(捷運北投站),1126800640,25.13174,121.495841
10分鐘,15,大業路(大興街口),1126800540,25.12976,121.49669
10分鐘,16,鳳甲美術館,1126800840,25.127225,121.4978596
12分鐘,17,大業路(農禪寺),1126800440,25.122429,121.499222
14分鐘,18,承德公館路口,1126200430,25.118907,121.501973
14分鐘,19,立農國小,1126200240,25.117433,121.503568
15分鐘,20,實踐街口,1126200640,25.114726,121.5064388
16分鐘,21,承德路七段,1126200540,25.112706,121.508727
19分鐘,22,石牌,1128700240,25.109536,121.512347
20分鐘,23,文林國小,1128700140,25.108034,121.5139733
3分鐘,26,捷運芝山站一,1115900340,25.100849,121.5223075
5分鐘,27,士林,1115900040,25.095911,121.5242793
8分鐘,28,小北街,1116300541,25.090999,121.526725
11分鐘,29,捷運劍潭站(北藝中心),1114100440,25.084849,121.524748
14分鐘,30,圓山皇宮大廈,1116600140,25.083468,121.5233264
15分鐘,31,劍潭國小,1116600240,25.081056,121.5223096
18分鐘,32,明倫高中,1036700240,25.07344,121.5191524
4分鐘,36,成淵高中,1036000040,25.062226,121.518152
5分鐘,37,民生西路口,1035300140,25.056725,121.5179896
10分鐘,38,捷運中山站(志仁高中),1035200120,25.05271,121.5196749
13分鐘,39,南京林森路口,1045400120,25.052069,121.5250604
14分鐘,40,南京吉林路口,1045700220,25.052007,121.529855
17分鐘,41,捷運松江南京站,1045700420,25.051969,121.5327305
18分鐘,42,南京建國路口,1048700320,25.051938,121.5362725
20分鐘,43,南京龍江路口,1048700420,25.051888,121.5401689
3分鐘,45,南京敦化路口(小巨蛋),1055100220,25.051703,121.5483534
6分鐘,46,南京寧安街口,1058000020,25.051548,121.5547373
8分鐘,47,博仁醫院,1056000040,25.04937,121.55774
9分鐘,48,臺北市區監理所(光復),1055500040,25.04762,121.5577342
11分鐘,49,捷運國父紀念館站(光復),1069400140,25.042558,121.557568
3分鐘,51,市民住宅,1069500140,25.03669,121.55745
4分鐘,52,三張犁,1069500040,25.034098,121.5573365
9分鐘,53,世貿中心(莊敬),1104900140,25.031446,121.56127
10分鐘,54,景新里,1104900440,25.02923,121.5624103
11分鐘,55,臺北醫學大學,1105000340,25.028273,121.5632643
13分鐘,56,信義國中(莊敬),1105000240,25.027402,121.565724
14分鐘,57,吳興國小(松仁),1104600040,25.026231,121.568554
15分鐘,58,松仁路,1104600240,25.024432,121.569585
15分鐘,59,松仁路,1104600200,25.02453,121.5695997
3分鐘,63,信義松仁路口(松仁),1105800400,25.03369,121.5684464
5分鐘,64,松壽路口,1105100460,25.035881,121.5666401
6分鐘,65,市政府(松壽),1105100360,25.035907,121.5646562
9分鐘,66,市政府(市府),1100800100,25.038366,121.5636251
11分鐘,67,捷運市政府站,1107100120,25.041057,121.5653493
